Champion,Skin_Count,Speedup_2_to_3,Performance_Degradation_%,Total_Time_2_Threads_s,Total_Time_3_Threads_s,Time_Saved_s,Avg_Skin_Time_2_Threads_s,Avg_Skin_Time_3_Threads_s,Recommendation
Zoe,8,1.62,-26.8,13.44,8.30,+5.14,2.267,1.659,STRONGLY RECOMMEND 3 threads
Vel'Koz,6,1.54,-33.6,5.92,3.84,+2.08,0.912,0.605,STRONGLY RECOMMEND 3 threads
Maokai,10,1.48,-5.2,8.36,5.66,+2.70,0.722,0.684,STRONGLY RECOMMEND 3 threads
Amumu,14,1.47,-6.8,11.41,7.78,+3.63,0.625,0.582,STRONGLY RECOMMEND 3 threads
Rammus,11,1.46,-3.2,8.62,5.90,+2.72,0.658,0.637,STRONGLY RECOMMEND 3 threads
Swain,9,1.45,-14.5,7.84,5.42,+2.42,0.747,0.639,STRONGLY RECOMMEND 3 threads
Zyra,12,1.45,-9.5,11.19,7.73,+3.46,0.821,0.744,STRONGLY RECOMMEND 3 threads
Syndra,13,1.43,-3.8,26.44,18.48,+7.96,3.000,2.885,STRONGLY RECOMMEND 3 threads
Zed,14,1.43,-3.9,30.14,21.14,+9.00,3.204,3.078,STRONGLY RECOMMEND 3 threads
Akshan,3,1.42,-18.1,3.10,2.18,+0.92,0.677,0.555,STRONGLY RECOMMEND 3 threads
Dr. Mundo,11,1.41,-4.9,7.49,5.31,+2.18,0.623,0.593,STRONGLY RECOMMEND 3 threads
Karthus,10,1.41,-4.8,8.75,6.18,+2.57,0.714,0.680,STRONGLY RECOMMEND 3 threads
Taliyah,5,1.40,-5.2,11.87,8.45,+3.42,2.970,2.815,STRONGLY RECOMMEND 3 threads
Trundle,8,1.40,-10.7,6.69,4.78,+1.91,0.670,0.598,STRONGLY RECOMMEND 3 threads
Zac,7,1.40,-9.2,6.34,4.53,+1.81,0.712,0.646,STRONGLY RECOMMEND 3 threads
Zeri,5,1.40,-6.2,5.29,3.79,+1.50,0.679,0.637,STRONGLY RECOMMEND 3 threads
Malzahar,13,1.38,+0.9,25.18,18.23,+6.95,2.857,2.883,STRONGLY RECOMMEND 3 threads
Nocturne,10,1.38,-1.0,7.55,5.47,+2.08,0.670,0.663,STRONGLY RECOMMEND 3 threads
Viktor,7,1.38,-2.5,5.57,4.03,+1.54,0.652,0.636,STRONGLY RECOMMEND 3 threads
Yorick,9,1.38,-8.9,9.29,6.74,+2.55,0.857,0.781,STRONGLY RECOMMEND 3 threads
Ziggs,11,1.38,-0.1,9.03,6.55,+2.48,0.649,0.648,STRONGLY RECOMMEND 3 threads
